transaction_id,date_time,amount,merchant_name,category,transaction_type,account_id,channel,location
TXN_001,2023-09-01T08:30:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_002,2023-09-01T12:15:00Z,45.50,ShopRite Grocery,groceries,debit,ACC_12345,card,Lagos
TXN_003,2023-09-01T18:20:00Z,25.00,Uber Ride,transport,debit,ACC_12345,app,Lagos
TXN_004,2023-09-02T07:45:00Z,8.75,Coffee Bean Cafe,entertainment,debit,ACC_12345,card,Lagos
TXN_005,2023-09-02T14:30:00Z,120.00,PHCN Electric Bill,utilities,debit,ACC_12345,app,Lagos
TXN_006,2023-09-02T19:10:00Z,200.00,Transfer to Mom,transfer,debit,ACC_12345,app,Lagos
TXN_007,2023-09-03T09:15:00Z,65.20,Genesis Deluxe Cinema,entertainment,debit,ACC_12345,card,Victoria Island
TXN_008,2023-09-03T13:45:00Z,150.00,Savings Deposit,savings,debit,ACC_12345,app,Lagos
TXN_009,2023-09-04T11:20:00Z,35.80,Total Filling Station,transport,debit,ACC_12345,card,Lagos
TXN_010,2023-09-04T16:30:00Z,90.50,Jumia Online Shopping,shopping,debit,ACC_12345,app,Lagos
TXN_011,2023-09-05T08:00:00Z,15.25,Mr Biggs Breakfast,food,debit,ACC_12345,card,Lagos
TXN_012,2023-09-05T14:15:00Z,75.00,Pharmacy Plus,healthcare,debit,ACC_12345,card,Lagos
TXN_013,2023-09-06T10:30:00Z,500.00,Rent Payment,housing,debit,ACC_12345,app,Lagos
TXN_014,2023-09-06T17:45:00Z,28.90,Airtel Data Bundle,utilities,debit,ACC_12345,ussd,Lagos
TXN_015,2023-09-07T12:10:00Z,155.75,Palms Shopping Mall,shopping,debit,ACC_12345,card,Lagos
TXN_016,2023-09-08T09:25:00Z,42.30,KFC Fast Food,food,debit,ACC_12345,card,Lagos
TXN_017,2023-09-08T15:20:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_018,2023-09-08T20:35:00Z,80.00,Bolt Ride to Airport,transport,debit,ACC_12345,app,Lagos
TXN_019,2023-09-09T11:40:00Z,125.60,Shoprite Victoria Island,groceries,debit,ACC_12345,card,Victoria Island
TXN_020,2023-09-09T18:15:00Z,95.25,Chicken Republic,food,debit,ACC_12345,card,Victoria Island
TXN_021,2023-09-10T08:50:00Z,22.75,Starbucks Coffee,entertainment,debit,ACC_12345,card,Victoria Island
TXN_022,2023-09-10T13:25:00Z,300.00,Transfer to Sister,transfer,debit,ACC_12345,app,Lagos
TXN_023,2023-09-11T10:15:00Z,67.40,Ebeano Supermarket,groceries,debit,ACC_12345,card,Lagos
TXN_024,2023-09-11T16:50:00Z,45.80,MTN Airtime,utilities,debit,ACC_12345,ussd,Lagos
TXN_025,2023-09-12T09:30:00Z,185.90,Konga Online Store,shopping,debit,ACC_12345,app,Lagos
TXN_026,2023-09-12T14:45:00Z,38.25,Domino's Pizza,food,debit,ACC_12345,card,Lagos
TXN_027,2023-09-13T11:20:00Z,275.50,Lagos University Teaching Hospital,healthcare,debit,ACC_12345,card,Lagos
TXN_028,2023-09-13T17:10:00Z,52.75,Genesis Cinema Imax,entertainment,debit,ACC_12345,card,Lagos
TXN_029,2023-09-14T08:40:00Z,18.90,Pure Water Vendor,food,debit,ACC_12345,cash,Lagos
TXN_030,2023-09-14T15:30:00Z,145.60,Circle Mall Shopping,shopping,debit,ACC_12345,card,Lagos
TXN_031,2023-09-15T10:25:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_032,2023-09-15T12:45:00Z,89.30,Nigerian Breweries,entertainment,debit,ACC_12345,card,Lagos
TXN_033,2023-09-16T09:15:00Z,34.75,Coscharis Motors Service,transport,debit,ACC_12345,card,Lagos
TXN_034,2023-09-16T14:20:00Z,156.80,Game Stores,shopping,debit,ACC_12345,card,Lagos
TXN_035,2023-09-17T11:50:00Z,78.45,Federal Palace Hotel,entertainment,debit,ACC_12345,card,Lagos
TXN_036,2023-09-17T16:35:00Z,250.00,Church Offering,donation,debit,ACC_12345,app,Lagos
TXN_037,2023-09-18T08:25:00Z,43.60,Yellow Chilli Restaurant,food,debit,ACC_12345,card,Lagos
TXN_038,2023-09-18T13:40:00Z,167.25,Park 'n' Shop,groceries,debit,ACC_12345,card,Lagos
TXN_039,2023-09-19T10:30:00Z,92.80,Total Energies,transport,debit,ACC_12345,card,Lagos
TXN_040,2023-09-19T17:15:00Z,125.50,Silverbird Cinema,entertainment,debit,ACC_12345,card,Lagos
TXN_041,2023-09-20T09:45:00Z,58.90,Cold Stone Creamery,entertainment,debit,ACC_12345,card,Lagos
TXN_042,2023-09-20T15:20:00Z,380.75,Mega Plaza Shopping,shopping,debit,ACC_12345,card,Lagos
TXN_043,2023-09-21T11:10:00Z,76.35,Sweet Sensation,food,debit,ACC_12345,card,Lagos
TXN_044,2023-09-21T18:25:00Z,145.20,Ceddi Plaza,shopping,debit,ACC_12345,card,Lagos
TXN_045,2023-09-22T08:55:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_046,2023-09-22T12:30:00Z,234.60,Sahad Stores,groceries,debit,ACC_12345,card,Lagos
TXN_047,2023-09-23T14:15:00Z,89.45,Tantalizers,food,debit,ACC_12345,card,Lagos
TXN_048,2023-09-23T19:40:00Z,156.80,Ikeja City Mall,shopping,debit,ACC_12345,card,Lagos
TXN_049,2023-09-24T10:20:00Z,47.25,Mr Biggs,food,debit,ACC_12345,card,Lagos
TXN_050,2023-09-24T16:50:00Z,298.75,Leisure Mall,shopping,debit,ACC_12345,card,Lagos
TXN_051,2023-09-25T09:35:00Z,67.90,Oando Filling Station,transport,debit,ACC_12345,card,Lagos
TXN_052,2023-09-25T14:45:00Z,123.40,Polo Park Mall,shopping,debit,ACC_12345,card,Lagos
TXN_053,2023-09-26T11:25:00Z,85.60,Hard Rock Cafe,entertainment,debit,ACC_12345,card,Lagos
TXN_054,2023-09-26T17:30:00Z,176.25,Spar Supermarket,groceries,debit,ACC_12345,card,Lagos
TXN_055,2023-09-27T08:40:00Z,54.75,Mama Cass Restaurant,food,debit,ACC_12345,card,Lagos
TXN_056,2023-09-27T13:55:00Z,267.90,Balogun Market,shopping,debit,ACC_12345,cash,Lagos
TXN_057,2023-09-28T10:15:00Z,98.30,Terra Kulture,entertainment,debit,ACC_12345,card,Lagos
TXN_058,2023-09-28T15:40:00Z,145.80,Grand Square,shopping,debit,ACC_12345,card,Lagos
TXN_059,2023-09-29T09:20:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_060,2023-09-29T12:10:00Z,76.45,Johnny Rockets,food,debit,ACC_12345,card,Lagos
TXN_061,2023-09-30T14:30:00Z,189.60,The Palms Shopping Centre,shopping,debit,ACC_12345,card,Lagos
TXN_062,2023-10-01T08:25:00Z,43.80,ColdStone Creamery,entertainment,debit,ACC_12345,card,Lagos
TXN_063,2023-10-01T16:20:00Z,156.90,Next Cash and Carry,groceries,debit,ACC_12345,card,Lagos
TXN_064,2023-10-02T11:35:00Z,87.25,Nando's,food,debit,ACC_12345,card,Lagos
TXN_065,2023-10-02T18:45:00Z,234.70,Lekki Conservation Centre,entertainment,debit,ACC_12345,card,Lagos
TXN_066,2023-10-03T09:50:00Z,65.40,Mobil Filling Station,transport,debit,ACC_12345,card,Lagos
TXN_067,2023-10-03T14:15:00Z,298.85,Maryland Mall,shopping,debit,ACC_12345,card,Lagos
TXN_068,2023-10-04T10:40:00Z,78.90,Bukka Hut,food,debit,ACC_12345,card,Lagos
TXN_069,2023-10-04T17:25:00Z,167.35,Admiralty Way Shopping,shopping,debit,ACC_12345,card,Lagos
TXN_070,2023-10-05T12:20:00Z,123.60,Freedom Park,entertainment,debit,ACC_12345,card,Lagos
TXN_071,2023-10-06T08:15:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_072,2023-10-06T15:30:00Z,245.80,Lagos Island Market,shopping,debit,ACC_12345,cash,Lagos
TXN_073,2023-10-07T11:45:00Z,89.70,Yahuza Suya,food,debit,ACC_12345,cash,Lagos
TXN_074,2023-10-07T19:10:00Z,156.25,Festival Mall,shopping,debit,ACC_12345,card,Lagos
TXN_075,2023-10-08T09:30:00Z,67.85,Shell Filling Station,transport,debit,ACC_12345,card,Lagos
TXN_076,2023-10-08T14:50:00Z,198.40,Adeniran Ogunsanya Mall,shopping,debit,ACC_12345,card,Lagos
TXN_077,2023-10-09T10:25:00Z,87.90,Barcelos,food,debit,ACC_12345,card,Lagos
TXN_078,2023-10-09T16:40:00Z,276.50,Computer Village,shopping,debit,ACC_12345,cash,Lagos
TXN_079,2023-10-10T12:15:00Z,145.30,Nike Art Centre,entertainment,debit,ACC_12345,card,Lagos
TXN_080,2023-10-10T18:35:00Z,89.65,Pizza Hut,food,debit,ACC_12345,card,Lagos
TXN_081,2023-10-11T08:20:00Z,234.75,Blenco Supermarket,groceries,debit,ACC_12345,card,Lagos
TXN_082,2023-10-11T15:45:00Z,167.20,Surulere Shopping Complex,shopping,debit,ACC_12345,card,Lagos
TXN_083,2023-10-12T11:30:00Z,78.40,Kilimanjaro Restaurant,food,debit,ACC_12345,card,Lagos
TXN_084,2023-10-12T17:50:00Z,298.90,Alaba International Market,shopping,debit,ACC_12345,cash,Lagos
TXN_085,2023-10-13T09:40:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_086,2023-10-13T13:25:00Z,156.80,Tafawa Balewa Square,entertainment,debit,ACC_12345,card,Lagos
TXN_087,2023-10-14T10:55:00Z,87.35,Ocean Basket,food,debit,ACC_12345,card,Lagos
TXN_088,2023-10-14T16:20:00Z,245.60,Tejuosho Market,shopping,debit,ACC_12345,cash,Lagos
TXN_089,2023-10-15T12:40:00Z,123.90,Wonderland Amusement Park,entertainment,debit,ACC_12345,card,Lagos
TXN_090,2023-10-15T19:15:00Z,189.45,Ikota Shopping Complex,shopping,debit,ACC_12345,card,Lagos
TXN_091,2023-10-16T08:30:00Z,65.70,AP Filling Station,transport,debit,ACC_12345,card,Lagos
TXN_092,2023-10-16T14:45:00Z,276.30,Victoria Island Market,shopping,debit,ACC_12345,cash,Lagos
TXN_093,2023-10-17T11:20:00Z,98.60,Sherlaton Hotel Restaurant,food,debit,ACC_12345,card,Lagos
TXN_094,2023-10-17T17:35:00Z,167.85,Ogba Shopping Mall,shopping,debit,ACC_12345,card,Lagos
TXN_095,2023-10-18T09:50:00Z,134.20,Lagos National Theatre,entertainment,debit,ACC_12345,card,Lagos
TXN_096,2023-10-18T15:10:00Z,89.75,Mama Put Restaurant,food,debit,ACC_12345,cash,Lagos
TXN_097,2023-10-19T12:30:00Z,245.90,Lekki Phase 1 Shopping,shopping,debit,ACC_12345,card,Lagos
TXN_098,2023-10-19T18:45:00Z,156.40,Ikoyi Golf Club,entertainment,debit,ACC_12345,card,Lagos
TXN_099,2023-10-20T10:15:00Z,1250.00,Orange Money Salary,income,credit,ACC_12345,bank_transfer,Lagos
TXN_100,2023-10-20T16:25:00Z,298.80,Ajah Shopping Complex,shopping,debit,ACC_12345,card,Lagos